Match number,blueBans,redBans
145,['Sivir'],"['Ryze', 'Kalista', 'Rumble']"
146,"['Urgot', 'TwistedFate', 'Hecarim']","['Ryze', 'Azir', 'Kalista']"
147,"['Azir', 'Gragas', 'Alistar']","['Ryze', 'Kalista', 'Thresh']"
148,"['Sivir', 'Vladimir', 'Azir']","['Ryze', 'Alistar', 'Ezreal']"
149,"['Nautilus', 'Maokai', 'Shen']","['Kalista', 'Ryze', 'Alistar']"
150,"['Urgot', 'Nautilus', 'Alistar']","['Ryze', 'Azir', 'Kalista']"
151,"['Gragas', 'Nautilus', 'Annie']","['Ryze', 'Kalista', 'Diana']"
152,"['RekSai', 'Sivir', 'TwistedFate']","['Ryze', 'Kalista', 'Gragas']"
153,"['Vladimir', 'Diana', 'Nautilus']","['Ryze', 'Annie', 'Kalista']"
154,"['Sivir', 'Alistar', 'TwistedFate']","['Ryze', 'Shen', 'Kalista']"
155,"['Fizz', 'TwistedFate', 'Azir']","['Ryze', 'Kalista', 'Nautilus']"
156,"['Sivir', 'Yasuo', 'Gnar']","['Ryze', 'Fizz', 'Alistar']"
157,"['RekSai', 'Kalista', 'Gragas']","['Nidalee', 'Ryze', 'Maokai']"
158,"['Nidalee', 'Sivir', 'JarvanIV']","['Ryze', 'Kalista', 'Shen']"
159,"['Annie', 'Alistar', 'RekSai']","['TwistedFate', 'Ryze', 'Fizz']"
160,"['Olaf', 'Kalista', 'Alistar']","['Ryze', 'Sivir', 'Nidalee']"
161,"['Azir', 'Kalista', 'RekSai']","['Nidalee', 'Sivir', 'Yasuo']"
162,"['Sivir', 'Vladimir', 'Diana']","['Ryze', 'Annie', 'Kalista']"
163,"['Nidalee', 'Gragas', 'RekSai']","['Ryze', 'Azir', 'Orianna']"
164,"['Azir', 'RekSai', 'Kalista']","['Ryze', 'Sivir', 'Alistar']"
165,"['Azir', 'Annie', 'Nidalee']","['Ryze', 'Sivir', 'Kalista']"
166,"['Azir', 'Kalista', 'TwistedFate']","['Nidalee', 'Sivir', 'Ryze']"
167,"['Annie', 'Kalista', 'Sivir']","['Vladimir', 'Ryze', 'Nidalee']"
168,"['Nidalee', 'Shen', 'Alistar']","['Azir', 'Annie', 'Ryze']"
169,"['Alistar', 'Fizz', 'Tristana']","['Ryze', 'Rumble', 'Braum']"
170,"['Azir', 'Kalista', 'Alistar']","['Ryze', 'Sivir', 'Fizz']"
171,"['Nidalee', 'TwistedFate', 'Nautilus']","['Ryze', 'Kalista', 'RekSai']"
172,"['Urgot', 'Rumble', 'Sivir']","['Ryze', 'Shen', 'Kalista']"
173,"['Azir', 'Sivir', 'Alistar']","['Ryze', 'Kalista', 'Tristana']"
174,"['Rumble', 'TwistedFate', 'Kalista']","['Ryze', 'Sivir', 'Ahri']"
175,"['TwistedFate', 'KogMaw', 'LeeSin']","['Ryze', 'Kalista', 'Fizz']"
176,"['Azir', 'Annie', 'Kalista']","['Ryze', 'Sivir', 'Fizz']"
177,"['Rumble', 'RekSai', 'Kalista']","['Ryze', 'Nidalee', 'Vladimir']"
178,"['Alistar', 'Annie', 'Kalista']","['Ryze', 'Nidalee', 'Maokai']"
179,"['Nidalee', 'Tristana', 'Braum']","['Ryze', 'Kalista', 'Sivir']"
180,"['Rumble', 'Kalista', 'Maokai']","['Ryze', 'Azir', 'Nidalee']"
181,"['Evelynn', 'Zac', 'Vladimir']","['Ryze', 'Nidalee', 'Kalista']"
